algorithm,state,action
DoubleQLearning,0,2
DoubleQLearning,1,1
DoubleQLearning,2,1
DoubleQLearning,3,1
DoubleQLearning,4,1
DoubleQLearning,5,1
DoubleQLearning,6,1
DoubleQLearning,7,1
DoubleQLearning,8,1
DoubleQLearning,9,1
DoubleQLearning,10,1
DoubleQLearning,11,2
DoubleQLearning,12,1
DoubleQLearning,13,1
DoubleQLearning,14,1
DoubleQLearning,15,1
DoubleQLearning,16,0
DoubleQLearning,17,1
DoubleQLearning,18,0
DoubleQLearning,19,0
DoubleQLearning,20,0
DoubleQLearning,21,0
DoubleQLearning,22,1
DoubleQLearning,23,2
DoubleQLearning,24,1
DoubleQLearning,25,1
DoubleQLearning,26,1
DoubleQLearning,27,0
DoubleQLearning,28,0
DoubleQLearning,29,0
DoubleQLearning,30,0
DoubleQLearning,31,1
DoubleQLearning,32,0
DoubleQLearning,33,0
DoubleQLearning,34,1
DoubleQLearning,35,2
DoubleQLearning,36,0
DoubleQLearning,37,0
DoubleQLearning,38,0
DoubleQLearning,39,0
DoubleQLearning,40,0
DoubleQLearning,41,0
DoubleQLearning,42,0
DoubleQLearning,43,0
DoubleQLearning,44,0
DoubleQLearning,45,0
DoubleQLearning,46,0
DoubleQLearning,47,0
